dataset,classifier,method,metric,value
full_nl,lstm,CftsCOMTE,pns_PS_do_complexity_median,100.0
full_nl,lstm,CftsCOMTE,pns_PS_frac_no_intervention,0.0
full_nl,lstm,CftsCOMTE,pns_PS_n,100.0
full_nl,lstm,CftsCOMTE,pns_PS_n_scorable,100.0
full_nl,lstm,CftsCOMTE,proximity_l1,231.43594462775246
full_nl,lstm,CftsCOMTE,proximity_l2,19.328462335481255
full_nl,lstm,CftsCOMTE,scm_noise_plausibility,0.34910450754162914
full_nl,lstm,CftsCOMTE,shift_vr,1.0
full_nl,lstm,CftsCOMTE,sparsity,0.7942900000000002
full_nl,lstm,CftsCOMTE,sparsity_channels,0.7940000000000002
full_nl,lstm,CftsCOMTE,sparsity_timepoints,0.0005
full_nl,lstm,CftsCOMTE,trsi,1.5331136540102448
full_nl,lstm,CftsCOMTE,validity,1.0
full_nl,lstm,CftsCOMTE,validity_base,1.0
full_nl,lstm,CftsCOMTE,validity_shift,1.0
full_nl,lstm,CftsCels,cf_faith_pearl_hard,0.24
full_nl,lstm,CftsCels,cf_faith_pearl_hard_given_valid,0.0
full_nl,lstm,CftsCels,cf_faith_pearl_hard_valid,0.0
full_nl,lstm,CftsCels,cf_faith_pearl_soft,0.9724303178236573
full_nl,lstm,CftsCels,cf_faith_rollout_hard,0.0
full_nl,lstm,CftsCels,cf_faith_rollout_hard_given_valid,0.0
full_nl,lstm,CftsCels,cf_faith_rollout_hard_valid,0.0
full_nl,lstm,CftsCels,cf_faith_rollout_soft,0.849956868857835
full_nl,lstm,CftsCels,do_complexity_mean,26.35
full_nl,lstm,CftsCels,do_complexity_mean_all,26.35
full_nl,lstm,CftsCels,do_complexity_mean_pearl_scorable,26.35
full_nl,lstm,CftsCels,do_complexity_median,26.5
full_nl,lstm,CftsCels,do_complexity_stability,12.723458611220222
full_nl,lstm,CftsCels,frac_degenerate,0.0
full_nl,lstm,CftsCels,frac_no_do_schedule,0.0
full_nl,lstm,CftsCels,frac_vacuous,0.0
full_nl,lstm,CftsCels,n,100.0
full_nl,lstm,CftsCels,n_cf_faith_scorable,100.0
full_nl,lstm,CftsCels,n_do_scorable,100.0
full_nl,lstm,CftsCels,ood,0.022811076409865006
full_nl,lstm,CftsCels,pns_PS_A_model_proposed,0.76
full_nl,lstm,CftsCels,pns_PS_B_model_oracle,0.0
full_nl,lstm,CftsCels,pns_PS_C_world_oracle,0.0
full_nl,lstm,CftsCels,pns_PS_delta_outcome,0.0
full_nl,lstm,CftsCels,pns_PS_delta_total,0.76
full_nl,lstm,CftsCels,pns_PS_delta_trajectory,0.76
full_nl,lstm,CftsCels,pns_PS_do_complexity_mean,26.35
full_nl,lstm,CftsCels,pns_PS_do_complexity_median,26.5
full_nl,lstm,CftsCels,pns_PS_frac_no_intervention,0.0
full_nl,lstm,CftsCels,pns_PS_n,100.0
full_nl,lstm,CftsCels,pns_PS_n_scorable,100.0
full_nl,lstm,CftsCels,proximity_l1,8.917962106291021
full_nl,lstm,CftsCels,proximity_l2,2.1648272122225616
full_nl,lstm,CftsCels,scm_noise_plausibility,0.9430789399864384
full_nl,lstm,CftsCels,shift_vr,0.9342105263157894
full_nl,lstm,CftsCels,sparsity,0.9256899999999999
full_nl,lstm,CftsCels,sparsity_channels,0.033
full_nl,lstm,CftsCels,sparsity_timepoints,0.7632999999999999
full_nl,lstm,CftsCels,trsi,1.2546115063484662
full_nl,lstm,CftsCels,validity,0.76
full_nl,lstm,CftsCels,validity_base,0.76
full_nl,lstm,CftsCels,validity_shift,0.71
full_nl,lstm,CftsConfeti,cf_faith_pearl_hard,0.0
full_nl,lstm,CftsConfeti,cf_faith_pearl_hard_given_valid,0.0
full_nl,lstm,CftsConfeti,cf_faith_pearl_hard_valid,0.0
full_nl,lstm,CftsConfeti,cf_faith_pearl_soft,0.37662649787345365
full_nl,lstm,CftsConfeti,cf_faith_rollout_hard,0.0
full_nl,lstm,CftsConfeti,cf_faith_rollout_hard_given_valid,0.0
full_nl,lstm,CftsConfeti,cf_faith_rollout_hard_valid,0.0
full_nl,lstm,CftsConfeti,cf_faith_rollout_soft,0.3611374745299334
full_nl,lstm,CftsConfeti,do_complexity_mean,88.0
full_nl,lstm,CftsConfeti,do_complexity_mean_all,88.0
