benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_nl_seed0,lstm,CftsCels,43,1,0.6568882269001235,0.18344045360878727,0.964,0.1,0.88,1.3552843520409885,86,0,0.0,0.9176510346590971,0.0,0.9953418099552519,0.0,0.0
full_nl_seed0,lstm,CftsCels,44,0,1.1988443934090329e-05,9.52425425108481e-06,1.0,1.0,1.0,1.958299445444407,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,45,1,0.24766234223077757,0.21997918501307873,0.994,0.7,0.97,0.9420337972245657,97,0,0.0,0.9168618497492813,0.0,0.9919192865270957,0.0,0.0
full_nl_seed0,lstm,CftsCels,46,1,0.20294253912400567,0.16938242342710855,0.993,0.5,0.97,1.0439939156660523,96,0,0.0,0.904617087623243,0.0,0.9951612812268744,0.0,0.0
full_nl_seed0,lstm,CftsCels,47,0,3.971957195345261e-05,2.804653818891749e-05,1.0,1.0,1.0,2.0029441839182414,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,48,1,0.1602468228788638,0.13932628633707464,0.997,0.8,0.98,1.104154029221347,98,0,0.0,0.9470995729886817,0.0,0.9926178236622961,0.0,0.0
full_nl_seed0,lstm,CftsCels,49,1,0.1204219138389045,0.09670629062695225,0.994,0.6,0.97,1.0394025330375556,97,0,0.0,0.9201625745606543,0.0,0.9963343797738037,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,0,1,68.79064328457115,3.191415074596469,0.338,0.0,0.2,0.6337725051552464,15,0,0.0,0.866663898026155,0.0,0.922264677177784,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,1,1,91.3439728729077,3.69900944851871,0.163,0.0,0.0,0.4448352259817912,0,0,0.0,0.8537725808550372,0.0,0.9127066405747393,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,2,1,85.79451264594093,3.5987358059622676,0.234,0.0,0.08,0.48592374149946804,3,0,0.0,0.8540787158379737,0.0,0.9153525977842664,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,3,1,73.45011709042,3.330106808517009,0.313,0.0,0.16,0.6641481080990889,13,0,0.0,0.8636220911621975,0.0,0.9190467887801099,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,4,1,79.93219475754465,3.4766061184573633,0.274,0.0,0.12,0.5205604984610342,11,0,0.0,0.8652592669555097,0.0,0.9141131582628412,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,5,1,77.62169743729028,3.4216428863340522,0.309,0.0,0.18,0.6194700835627968,13,0,0.0,0.8535459801459744,0.0,0.9146520075771504,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,6,1,121.28255550783585,5.277765409791159,0.204,0.0,0.08,0.4512722542161395,7,0,0.0,0.8292854638799806,0.0,0.8777412957143989,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,7,1,100.10156269305602,4.7832470161199,0.286,0.0,0.11,0.5322380940563987,9,0,0.0,0.835764042167175,0.0,0.8958424904055656,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,8,1,81.72406161776499,3.507821495780849,0.262,0.0,0.12,0.5380929501207267,12,0,0.0,0.8570574985249111,0.0,0.9113222126441636,0.0,0.0
